city,temp,country,date,latitude,longitude,cloudiness,humidity,wind speed
Sulangan,80.37,PH,1639071142,11.1373,123.7228,100,82,23.64
North Platte,49.89,US,1639071142,41.1239,-100.7654,1,44,5.99
Manggar,78.71,ID,1639071142,-2.8833,108.2667,99,88,8.37
Bandar-e Lengeh,68.11,IR,1639070854,26.5579,54.8807,0,49,4.61
Simbahan,81.9,PH,1639071142,6.3032,120.5836,100,82,20.42
Ulladulla,60.76,AU,1639071142,-35.35,150.4667,99,94,22.77
Ballinrobe,50.09,IE,1639071142,53.6333,-9.2333,100,69,20.56
Palmer,35.74,US,1639071143,42.1584,-72.3287,75,61,1.99
Udachny,-10.55,RU,1639071143,66.4167,112.4,100,76,18.32
Saskylakh,-13.94,RU,1639071143,71.9167,114.0833,99,97,7.47
Kapit,73.9,MY,1639071143,2.0167,112.9333,92,100,1.52
Upernavik,6.44,GL,1639071143,72.7868,-56.1549,89,99,10.49
Rockland,38.44,US,1639071144,41.1668,-74.0496,80,57,5.01
Hirara,70.23,JP,1639071144,24.8,125.2833,100,62,16.46
Sørland,33.66,NO,1639071144,67.667,12.6934,100,68,11.83
Parnamirim,88.14,BR,1639071144,-5.9156,-35.2628,75,62,17.27
Pedra Azul,68.94,BR,1639071144,-16.0053,-41.2972,100,97,3.33
Cidreira,71.35,BR,1639071144,-30.1811,-50.2056,22,62,11.86
Meteş,44.62,RO,1639071144,46.1,23.4167,100,76,3.98
Ouadda,77.05,CF,1639071145,8.0777,22.4007,0,24,5.68
Maltahöhe,81.21,NA,1639071145,-24.8333,16.9833,0,7,17.94
İzmit,57.4,TR,1639071029,40.7669,29.9169,0,72,2.3
Baoro,77.72,CF,1639071145,5.6667,15.9667,31,27,3.74
Prieska,86.43,ZA,1639071145,-29.6641,22.7474,40,21,8.03
Shimoda,46.11,JP,1639071145,34.6667,138.95,12,74,12.75
Faya,60.91,SA,1639071146,18.3851,42.4509,9,18,4.25
East London,72.54,ZA,1639071146,-33.0153,27.9116,0,88,4.61
São João da Barra,80.69,BR,1639071146,-21.6403,-41.0511,18,73,13.33
Aklavik,2.23,CA,1639071146,68.2191,-135.0107,20,84,3.44
Dauphin,24.94,CA,1639071146,51.1494,-100.0502,75,74,13.8
Safaga,66.15,EG,1639071146,26.7292,33.9365,2,52,15.01
Cherskiy,-42.95,RU,1639071147,68.75,161.3,91,100,5.57
Adrar,70.38,MR,1639071147,20.5022,-10.0711,100,9,10.94
Ilulissat,24.82,GL,1639071147,69.2167,-51.1,20,36,18.41
Pacific Grove,54.43,US,1639071147,36.6177,-121.9166,90,79,7
Karwar,80.58,IN,1639071147,14.8,74.1333,91,70,4.05
Ribeira Grande,63,PT,1639071147,38.5167,-28.7,75,72,10.36
Alpena,30.34,US,1639071148,45.0617,-83.4327,90,69,3
Ambon City,75.34,ID,1639071148,-3.6954,128.1814,40,100,5.75
Isangel,77.88,VU,1639071148,-19.55,169.2667,2,88,6.29
Tasiilaq,30.36,GL,1639071148,65.6145,-37.6368,100,65,4.32
Denpasar,82.06,ID,1639071148,-8.65,115.2167,40,83,10.36
Zhangjiakou,30.38,CN,1639071148,40.81,114.8794,6,52,6.04
Ilo,68.86,PE,1639071149,-17.6394,-71.3375,90,68,6.91
Ubari,58.35,LY,1639071149,26.5921,12.7805,0,15,9.28
Egvekinot,-11.04,RU,1639071149,66.3167,-179.1667,100,85,11.56
Vol'sk,32.04,RU,1639071149,52.0333,47.3833,100,97,4.72
Marquette,27.77,US,1639071149,46.5333,-87.6335,100,90,15.46
Riverton,43.79,US,1639071149,40.5219,-111.9391,90,88,1.99
Lorengau,82.56,PG,1639071150,-2.0226,147.2712,99,80,16.78
Seka,64.06,TH,1639071150,17.9285,103.9552,58,85,4.52
Marsá Maţrūḩ,63.12,EG,1639070868,31.3525,27.2453,1,54,6.55
Saint Anthony,38.14,US,1639071150,45.0205,-93.218,40,78,4
Cortes,49.6,ES,1639071150,41.9395,-1.4396,100,76,7.92
Lugovoy,31.62,KZ,1639071151,42.9472,72.7644,6,74,7.25
Hambantota,77.23,LK,1639071151,6.1241,81.1185,90,82,11.45
